release_date,movie_title,production_budget,domestic_gross,worldwide_gross,genres,start_year,runtime_minutes,averagerating,numvotes,Revenue
21-06-2013,Monsters University,200000000.0,268488329.0,743588329.0,"Adventure,Animation,Comedy",2013,104.0,7.3,291887,543588329.0
08-03-2013,Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,"Adventure,Family,Fantasy",2013,130.0,6.3,192045,290359051.0
23-05-2014,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,"Action,Adventure,Sci-Fi",2014,132.0,8.0,620079,547862775.0
02-05-2014,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,"Action,Adventure,Sci-Fi",2014,142.0,6.6,388363,508996336.0
24-06-2011,Cars 2,200000000.0,191450875.0,560155383.0,"Adventure,Animation,Comedy",2011,106.0,6.2,138914,360155383.0
16-11-2018,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,"Adventure,Family,Fantasy",2018,134.0,6.6,163151,452220086.0
17-06-2011,Green Lantern,200000000.0,116601172.0,219535492.0,"Action,Adventure,Sci-Fi",2011,114.0,5.5,252281,19535492.0
29-06-2011,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,"Action,Adventure,Sci-Fi",2011,154.0,6.2,366409,928790543.0
09-06-2017,The Mummy,195000000.0,80101125.0,409953905.0,"Action,Adventure,Fantasy",2017,110.0,5.5,154345,214953905.0
07-05-1999,The Mummy,80000000.0,155385488.0,416385488.0,"Action,Adventure,Fantasy",2017,110.0,5.5,154345,336385488.0
01-03-2013,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,"Adventure,Fantasy",2013,114.0,6.3,123127,2687603.0
03-04-2015,Furious 7,190000000.0,353007020.0,1518722794.0,"Action,Crime,Thriller",2015,137.0,7.2,335074,1328722794.0
16-05-2013,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,"Action,Adventure,Sci-Fi",2013,132.0,7.7,445535,277381584.0
21-06-2013,World War Z,190000000.0,202359711.0,531514650.0,"Action,Adventure,Horror",2013,116.0,7.0,553751,341514650.0
10-05-2013,The Great Gatsby,190000000.0,144840419.0,351040419.0,"Drama,Romance",2013,143.0,7.3,433165,161040419.0
29-03-1974,The Great Gatsby,7000000.0,26533200.0,26533200.0,"Drama,Romance",2013,143.0,7.3,433165,19533200.0
12-07-2013,Pacific Rim,190000000.0,101802906.0,411002906.0,"Action,Adventure,Sci-Fi",2013,131.0,6.9,443667,221002906.0
25-11-2015,The Good Dinosaur,187500000.0,123087120.0,333771037.0,"Adventure,Animation,Comedy",2015,93.0,6.7,91465,146271037.0
02-05-2008,Iron Man,186000000.0,318604126.0,585171547.0,"Comedy,Drama,Family",2013,84.0,5.6,14,399171547.0
22-06-2012,Brave,185000000.0,237282182.0,554606532.0,"Adventure,Animation,Comedy",2012,93.0,7.1,338728,369606532.0
10-03-2017,Kong: Skull Island,185000000.0,168052812.0,561072059.0,"Action,Adventure,Fantasy",2017,118.0,6.6,237720,376072059.0
22-07-2016,Star Trek Beyond,185000000.0,158848340.0,335802233.0,"Action,Adventure,Sci-Fi",2016,122.0,7.1,209844,150802233.0
06-10-2017,Blade Runner 2049,185000000.0,92054159.0,259357408.0,"Drama,Mystery,Sci-Fi",2017,164.0,8.0,376241,74357408.0
24-05-2019,Aladdin,182000000.0,246734314.0,619234314.0,"Adventure,Comedy,Family",2019,128.0,7.4,57549,437234314.0
11-11-1992,Aladdin,28000000.0,217350219.0,504050219.0,"Adventure,Comedy,Family",2019,128.0,7.4,57549,476050219.0
03-11-2017,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,"Action,Adventure,Comedy",2017,130.0,7.9,482995,666980024.0
30-05-2014,Maleficent,180000000.0,241407328.0,758536735.0,"Action,Adventure,Family",2014,97.0,7.0,305832,578536735.0
18-11-2016,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,"Adventure,Family,Fantasy",2016,132.0,7.3,365353,622402853.0
